№ п/п	Инвентарный номер ИП	Дата сделки	Год постройки КС	Количество надземных этажей	Общая площадь помещения, кв.м	Этаж расположения	Количество жилых помещений (комнат), кв.м	Площадь кухни, кв.м	Наличие балкона, лоджии 	Наличие кладовой, гардеробной или других помещений для хранения	Высота потолка	Стеклопакеты в окнонных проемах	Возможность свободной планировки	Горячее водоснабжение	Санузлы	Отопление	Кондиционирование и вентиляция	Общее состояние здания/помещения	Элементы ландшафтного дизайна	Спортивная площадка	Огороженная территория	Количество парковочных мест для автомобилей	Собственная служба эксплуатации, управляющая компания	Консъерж/внутреннее видеонаблюдение	Подземный крытый паркинг (количество мест на парковке, шт.)	Наименование материала стен	"Наименование ""Виды конструкций"""	Территория	Доступность центра	Расстояние от СНП до центра притяжения	Цена, USD/кв.м	Цена за весь объект, USD	Маркер релевантности (1-релевантно, 0-нерелевантно)	номер оценочной зоны	СЗЗ	Пешеходная доступность рекреационой зоны	Маркер релевантности после усреднения	Стоимость Ани на дату сделки
973	500/D-111674	06.08.2014	1958	8	62.8	7	2	8.2	1	Нет	3.0 - 4.0	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1273.89	80000.00	0	Минск1_жм	1	1	0	2182.49
974	500/D-111754	18.03.2015	1958	8	74.6	8	3	9.3	1	Нет	2.7 - 3	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1816.35	135500.00	1	Минск1_жм	1	1	1	1796.48
975	500/D-111775	06.10.2014	1958	8	51.7	3	2	8.5	Нет	Нет	2.7 - 3	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	2050.29	106000.00	1	Минск1_жм	1	1	0	2248.62
976	500/D-112423	19.03.2013	1958	5	55.65	5	2	7.95	2 и более	1	3.0 - 4.0	Нет	Нет данных	Централизованное	Нет	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1886.58	104988.40	1	Минск7_жм	1	1	1	1551.65
977	500/D-112430	15.07.2014	1958	5	53.32	1	2	7.96	Нет	1	2.7 - 3	Нет	Нет данных	Централизованное	Нет	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1978.62	105500.00	1	Минск7_жм	1	1	1	1724.46
978	500/D-114798	03.06.2013	1959	3	54.2	2	2	8.7	Нет	Нет	2.7 - 3	Нет	Нет данных	Централизованное	2 и более	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1411.44	76500.00	1	Минск3_жм	0	1	1	1636.31
979	500/D-115255	10.07.2015	1959	4	29.5	2	2	6.2	Нет	Нет	до 2.7		Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1535.70	45303.23	1	Минск8_жм	0	1	1	1544.01
980	500/D-115412	28.06.2013	1959	5	74.6	4	3	8.6	1	1	2.7 - 3	Нет	Нет	Централизованное	Нет	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1758.71	131200.00	1	Минск1_жм	1	1	1	2036.21
981	500/D-115448	04.11.2014	1959	5	75.03	4	3	8.91	1	1	2.7 - 3	Нет	Нет	Централизованное	2 и более	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	2145.81	161000.00	1	Минск1_жм	1	1	0	2089.79
982	500/D-117223	25.08.2015	1959	5	45.8	2	2	6	1	1	до 2.7	Нет	Нет данных	Централизованное	1	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1244.54	57000.00	1	Минск12_жм	1	1	1	1317.76
983	500/D-117253	16.07.2015	1959	4	39.1	3	2	6	1	1	до 2.7	Нет	Нет	Автономное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1432.23	56000.00	1	Минск12_жм	1	1	1	1389.05
984	500/D-117266	26.08.2013	1959	4	43.3	1	2	6.1	Нет	Нет	2.7 - 3	Да	Нет данных	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1847.58	80000.00	1	Минск12_жм	1	1	1	1627.95
985	500/D-117269	20.03.2015	1959	4	32.2	3	1	6.2	Нет	1	до 2.7	Нет	Нет	Автономное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1419.25	45700.00	1	Минск12_жм	1	1	1	1550.66
986	500/D-117318	15.08.2013	1959	4	45.1	2	2	5.6	1	Нет	до 2.7	Нет	Нет данных	Централизованное	1	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1796.01	81000.00	1	Минск12_жм	0	1	1	1709.34
987	500/D-117344	17.10.2013	1959	4	42.7	1	2	5.8	Нет	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1498.83	64000.00	1	Минск12_жм	0	1	1	1667.62
988	500/D-117362	01.06.2015	1959	5	32.3	2	1	5.5	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1226.75	39623.91	1	Минск12_жм	0	1	1	1448.42
989	500/D-117366	19.01.2015	1959	5	43.3	3	2	5.6	1	Нет	до 2.7	Нет	Нет данных	Централизованное	1	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1685.91	73000.00	1	Минск12_жм	0	1	1	1561.62
990	500/D-117393	12.05.2015	1959	5	41.6	1	2	5.5	1	Нет	до 2.7	Нет	Нет данных	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1310.10	54500.00	1	Минск12_жм	0	1	1	1367.82
991	500/D-117420	11.07.2013	1959	4	74.8	4	3	8.9	1	1	до 2.7	Нет	Нет данных	Централизованное	Нет	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1704.55	127500.00	1	Минск4_жм	1	1	1	1634.95
992	500/D-117728	28.06.2013	1959	4	35.7	1	1	8.2	Нет	1	до 2.7	Нет	Нет	Централизованное	Нет	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1442.58	51500.00	1	Минск13_жм	0	1	1	1424.33
993	500/D-118515	17.06.2014	1959	6	58.7	2	2	10	1	Нет	до 2.7	Да	Нет данных	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1771.72	104000.00	1	Минск13_жм	0	1	1	1731.30
994	500/D-12417	14.01.2014	2003	10	93.3	5	2	28.1	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1286.17	120000.00	0	Минск6_жм	0	1	0	1708.23
995	500/D-12459	29.04.2013	2003	10	91.8	9	3	15.7	2 и более	2 и более	до 2.7	Да	Нет данных	Централизованное	2 и более	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1307.19	120000.00	1	Минск6_жм	0	1	1	1648.67
996	500/D-125928	19.03.2013	1960	4	32.2	1	1	6.1	Нет	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1614.91	52000.00	1	Минск7_жм	1	1	1	1670.49
997	500/D-126147	17.09.2015	1960	4	42.9	1	2	6	Нет	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1135.20	48700.00	1	Минск11_жм	0	1	1	1292.46
998	500/D-126241	23.01.2014	1960	5	33.5	4	1	5.9	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	2238.81	75000.00	1	Минск1_жм	0	1	1	2201.59
999	500/D-126366	21.05.2015	1960	4	29.5	1	1	6	Нет	Нет	2.7 - 3	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1467.80	43300.00	1	Минск11_жм	0	1	1	1473.80
1000	500/D-126419	05.11.2014	1960	4	40.6	3	2	5.5	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1724.14	70000.00	1	Минск12_жм	0	1	1	1714.54
